gaia,ra,dec,pmra,pmdec,parallax,parallax_error,G_mag,bp_rp,ra_error,dec_error,pmra_error,pmdec_error,vbroad,tess,pipecad,skew_5,M_mag,ds,eb,comments,HD,amax_fb_shift,fmax_fb_shift,integrated_power_HPF_fb_shift,num_freqs_snr_g10,centroid_power_above_5med_fb_shift,HADS,amax_noise,RUWE,phot_bp_rp_excess_factor,fmax_g30,amax_g30,SNR_fb_shift,fidelity_v2,zams_distance,zams_distance_vertical,iso_rho,iso_mass,iso_rad,log_g,iso_teff,Uyt_efficiency,Uyt_energy,g_by_sq_teff,eb_prsa,skew_lightcurve,pipeline,cadence,new_PSD
1049765396704695936,147.74478153974084,59.03805958941325,-294.4407007465332,-151.66321069328785,28.378297904109104,0.15291466,3.705446,0.49090004,0.0883052,0.108805604,0.09169158,0.14811884,106.636536,331900366,SPOC_120,18.975416443015135,0.9703777172314608,1.0,0.0,none,84999,12185.69694917922,6.2744563805252875,35.79962805534013,17.0,9.069875567061604,0.0,22.903059070589386,1.1456096,1.155449,34.076192786332086,74.60886222553862,1570.270664972896,1.0,0.7105030937095183,-2.318147554140468,,,,,,,2964.658718279741,,0,0.2179033771499339,SPOC,120,36.56651928275342
2136270970154631168,292.42664190032,51.73034634257358,20.804354085241467,127.89459604417247,26.63630356511057,0.16886343,3.7418947,0.28395772,0.17315806,0.12901749,0.19986323,0.16305709,,424870548,SPOC_120,21.178140787007347,0.8692644787938484,1.0,0.0,none,184006,1017.8886653137638,17.62451656506129,0.2981848245715693,28.0,12.815485488863134,0.0,2.2609912578482527,0.84111387,1.1637315,42.896497459857905,51.68110924330919,1620.8619241648216,1.0,0.6560912849190954,-1.674162021073034,0.1014731932394268,2.047327071725127,2.658864876516758,3.899794695026467,8026.742956624102,6.264601632307543e-09,47.27013307963971,88.61862702963552,0,0.0145381572040568,SPOC,120,0.3238894309355505
4792774797545800832,86.82123452009108,-51.066136257823345,5.160196860824648,84.0405295978282,50.930690628822894,0.14821085,3.8232422,0.2614324,0.13713108,0.13109376,0.20174596,0.18706723,117.53179,270577175,SPOC_120,11.507822247693923,2.3581400266155477,1.0,0.0,none,39060,746.9334965129087,47.439112208086726,0.6000626737708403,30.0,49.14316417596488,0.0,8.938406572828876,1.0804324,1.1714764,47.439112208086726,746.9334965129087,523.7143949061257,1.0,0.036334776666978,-0.1168676393952683,0.4167826882842722,1.62328368135349,1.5552467134839931,4.264795838225119,7978.993805735321,5.9727120890272275e-09,1445.9224562405143,205.97844456212025,0,0.0380947835242103,SPOC,120,0.6254226375282331
364785939116867072,14.189228786797868,38.49948894197979,151.02056381305957,34.80013480458139,26.704629786620664,0.6467077,3.8432207,0.22131753,0.46551096,0.23644553,0.46964467,0.30883142,73.63329,432698066,SPOC_120,9.836318456661893,0.9761535080353774,1.0,0.0,none,5448,982.6178644023164,9.08230050888622,0.3509380526135955,32.0,11.819716986453631,0.0,2.575671303286278,0.90979177,1.1633949,30.588694847506513,55.75416728338213,1204.371205278037,0.99902344,0.5322018982391677,-1.376141022954617,0.1073159553780978,2.073932006093499,2.634808016369692,3.9132965617184783,8175.245295062101,6.025178361433311e-09,49.425755352240515,90.58288854588017,0,0.1277044535042605,SPOC,120,0.4001450225734543
6127688772460862976,189.4244346160047,-48.54133539851064,-186.0808574259416,-6.7573078142611935,24.29534892468189,0.22693644,3.8500426,0.1107769,0.15492745,0.12677498,0.14972748,0.12112438,,160527775,SPOC_120,14.12937623061067,0.7776583034482591,1.0,0.0,none,109787,980.5921703021054,19.422970020240346,0.2878396436263931,29.0,12.85555179708736,0.0,3.8539031448380503,1.0047914,1.1756983,38.8417376399354,69.45489748610217,751.5911331209454,1.0,0.6774520447280116,-1.2662350845292227,0.1063048590353216,2.2399186735327943,2.702590306550436,3.924671820879654,8723.814213728,5.2810257583629575e-09,47.03437738959432,90.01577332151084,0,0.0025619576083849,SPOC,120,0.302228154602403
4992538055808271360,6.551492767246445,-43.67968625508389,106.39361217909844,32.491242856046014,41.72283479422134,0.13579874,3.9185052,0.26240516,0.10009978,0.08930227,0.1260077,0.13153008,242.68947,80256268,SPOC_120,10.269474487358902,2.0203742411577625,1.0,0.0,none,2262,1256.285036533147,10.160488138686455,0.3404395381247003,41.0,21.336942044693213,0.0,6.971255505913992,0.9678352,1.1773165,30.022280482100655,406.58859657960954,486.3103477178272,1.0,0.1506402835270797,-0.457584795539407,0.2930643701085902,1.7076006327000697,1.7635591566903923,4.177606242670753,7884.303652851766,6.201855550084794e-09,149.4038840734785,169.52141609284607,0,0.0541278379125749,SPOC,120,0.4233878131174328
3196359642878570368,62.96645850775461,-6.837215809714261,10.23314032855876,81.85828752519862,26.109678851295698,0.17770493,3.9739523,0.4714744,0.1509613,0.102277495,0.18089132,0.13036227,,67687505,SPOC_120,11.907578186452682,1.0579599501970858,1.0,0.0,none,26574,5365.169078553244,12.226836944825626,7.854288912206402,30.0,10.464566430315376,0.0,9.905184678994862,0.9984425,1.1754575,30.217836632525845,42.50996786484595,1697.6562832439488,1.0,0.640557506375443,-2.1421274504297516,0.0477108686704406,1.982319879221557,3.400939658076413,3.6719758833390927,6967.623216138345,8.654277260501742e-09,861.1120542443236,56.29029887415818,0,0.1145049309799902,SPOC,120,8.158116855719616
1565090003967879424,201.3073057729085,54.987845339784336,113.36969394609814,-29.49753286598633,40.46506499292375,0.1373625,3.9743545,0.26357174,0.103688546,0.13341404,0.12696238,0.15733908,230.92857,159191044,SPOC_120,16.36901119535416,2.009755711353898,1.0,0.0,none,116842,1973.9852445056388,26.6277346499671,0.724706212559505,21.0,27.598943842154135,0.0,9.849347024527676,0.92011374,1.1688699,37.32929726744656,1003.7420235170704,1203.1313746706617,1.0,0.1553645850987424,-0.4717441615702626,0.1506170266554908,1.7858131295735835,2.2347744459410817,3.991368618294061,7612.053627512802,6.85880458025499e-09,550.5802736791887,112.36154407662744,0,0.0318978140662306,SPOC,120,0.8143814390498427
3546521385854108928,171.2200634570526,-17.683995656330193,-96.81062709584089,3.6502178960089,37.70653151370568,0.19724725,4.0472245,0.2962072,0.1549954,0.12636068,0.20475933,0.14828871,123.51343,334849779,SPOC_120,27.658858076950818,1.9293074253882665,1.0,0.0,none,99211,568.5470362063882,27.42823969971332,0.0272064174459894,3.0,27.42508965649035,0.0,6.050282657706506,3.3309584,1.1711688,33.996841574915095,14.471600463730905,329.3104047772985,1.0,0.212872184129712,-0.6513828636793653,0.208799750214777,1.7218757275466152,1.9469449131374064,4.095294476504835,7651.085026208093,6.673656556826798e-09,20.471127183312067,142.374746021213,0,0.0034772850346952,SPOC,120,0.027720550920214
5077970830842019584,45.59719677022088,-23.624717283377432,-147.8513175625087,-55.25060555887944,36.95023734708943,0.14640357,4.066773,0.24952269,0.07308332,0.101688206,0.09744713,0.13695145,,71353640,SPOC_120,8.250384605717706,1.904859161989835,1.0,0.0,none,18978,175.57987678601037,21.063945796064218,0.0121733709290205,37.0,19.853043395663008,0.0,4.158594091847934,0.96293384,1.1756045,30.766978043694554,92.29976652457714,169.00818363388433,1.0,0.1762243186170657,-0.5341148251164154,0.2142407352844265,1.7702323820819794,1.981933816487255,4.0918519852005435,7827.997436310747,6.3789917447457614e-09,4.795345585909796,139.64540432859613,0,0.0624843532744245,SPOC,120,0.014124843949326
162405533940990080,62.70759999422974,26.4807985544509,-30.91903250283457,-35.104916002992354,15.419902194552062,0.08631917,5.2940264,0.48437214,0.07094615,0.040622946,0.12312519,0.0722175,6.878487,56453471,SPOC_120,26.370077676158925,1.2344344953901736,1.0,0.0,none,26322,18538.18689436662,6.897987436171803,59.35379342459546,9.0,7.367385323909883,1.0,12.532508455560093,0.8379461,1.1614746,30.042909132431603,43.36834932740475,4673.915888058645,1.0,0.566721228846655,-2.023929095173386,0.0473025369132458,1.946409457386573,3.4301653927665905,3.656604084145019,6764.308307049941,9.208055302016026e-09,3231.4215147057075,55.14325361831474,0,0.0924533759569051,SPOC,120,59.93835376939682
1073264537170851840,155.26325619516695,68.74750463579039,-54.15579412888168,-33.4765086734438,7.692737032154326,0.046249703,5.8277864,0.3561039,0.031085735,0.03750824,0.042782944,0.047263265,,103692670,SPOC_120,37.625149636475705,0.2581908340356964,1.0,0.0,none,89343,17880.46956096645,6.4321107976602345,56.68588058596997,10.0,5.80219654362592,1.0,19.647311330597788,1.1147972,1.1775408,30.904924812030245,30.554985189076596,2894.4651279788673,1.0,1.2451320472235938,-2.5099454507866197,0.0183873049756293,2.2048607204330843,4.945362661215307,3.3929848696282656,7118.315759752932,8.740257349799458e-09,1916.1404054157351,29.295185017554783,0,0.2334897351388454,SPOC,120,57.43363224503147
